Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
12,0,Graphics and Sound,,Final Project: Submission and Presentation Handed Out,./Projects/FinalProject,80,_pages/Projects/proj-final.md,,Lab: Story Telling Due,./Labs/StoryTelling,100,_pages/Labs/lab-storytelling.md,,,,,,,,,,,,,,,,
12,1,File I/O in Python,./Activities/PythonFileIO,Programming Assignment: Respiratory Tracker Due,./Assignments/RespiratoryTracker,100,_pages/Assignments/asmt-respiratorytracker.md,,,,,,,,,,,,Think Python Ch. 13,,Runestone Ch. 8,,,,,,,
13,0,File I/O in Python,,Programming Assignment: The Federalist Papers Handed Out,./Assignments/FederalistPapers,100,_pages/Assignments/asmt-federalist.md,,,,,,,,,,,,,,,,,,,,,
13,1,File I/O in Python,,Class Participation: Second Journal Check Due,./ClassParticipation/JournalCheck,10,_pages/Participation/participation-journalcheck.md,written,,,,,,,,,,,,,,,,,,,,
13,2,Protocols: Rock-Paper-Scissors with the micro:bit,./Activities/RockPaperScissors,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,Protocols: Rock-Paper-Scissors with the micro:bit,,Service Learning Project: Final Draft Due,./Projects/ServiceLearning,50,_pages/Projects/proj-servicelearning.md,written,,,,,,,,,,,,,,,,,,,,
14,0,Trust and Privacy on the Internet: Zero Knowledge Coin Flip with the micro:bit,./Activities/ZeroKnowledgeCoinFlip,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Data Encodings: Telling Time with WWVB,./Activities/WWVB,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,Data Encodings: Telling Time with WWVB,,Final Project: Submission and Presentation Due,./Projects/FinalProject,80,_pages/Projects/proj-final.md,,,,,,,,,,,,,,,,,,,,,
14,3,Data Encodings: Telling Time with WWVB,,Programming Assignment: The Federalist Papers Due,./Assignments/FederalistPapers,100,_pages/Assignments/asmt-federalist.md,,,,,,,,,,,,,,,,,,,,,
